,Open,High,Low,Close,Volume
2022-01-31,46659.24,47989.0,32950.72,38479.91,71899.99316572
2022-02-28,38495.66,45850.0,34324.05,41233.87,57380.73682106
2022-03-31,41228.49,48234.0,37169.52,45622.39,58763.17822661
2022-04-30,45617.11,47458.48,37701.0,38487.71,44056.48532558
2022-05-31,38484.87,40050.19,25401.05,31610.61,101260.23960562
2022-06-30,31610.61,31962.79,17592.78,18901.6,106576.31850953
2022-07-31,18892.96,24676.0,18595.6,23837.21,74680.83536261
2022-08-31,23848.21,25212.0,19526.0,20219.0,47733.30210383
2022-09-30,20222.0,22781.0,18157.0,19495.0,69753.68501266
2022-10-31,19486.0,21078.0,18183.0,20368.0,41439.48859683
2022-11-30,20364.0,21473.0,15479.0,16926.0,104475.30523474
